"ID","MonthlyIncome"
871,5538.46227728623
872,2806.82676510072
873,12702.7397469296
874,2661.64452086858
875,2794.47412462119
876,4459.81394706393
877,5648.38523541105
878,2269.6558791092
879,3106.7786784869
880,14021.9373621503
881,9259.89216294548
882,2794.47412462119
883,5415.40435495942
884,5275.2028170504
885,5838.9380636101
886,5104.50869689713
887,5925.87833431968
888,5730.75393887512
889,4138.55709398192
890,3145.74535435272
891,4296.25084930386
892,8074.45434994263
893,7792.72799813153
894,5415.40435495942
895,9651.53964709656
896,8722.6832291426
897,8030.04407293411
898,15066.775765162
899,5838.9380636101
900,2881.42511567776
901,2732.38429488954
902,5922.94095099231
903,6382.00922196094
904,2849.93660622758
905,15569.6440054139
906,5111.57873185031
907,9183.85396701177
908,5844.49334770527
909,2269.6558791092
910,2288.83818621446
911,23742.9006567645
912,3217.22826903504
913,2794.47412462119
914,10082.1944332787
915,5844.49334770527
916,3738.98948796166
917,2614.53165607297
918,5275.2028170504
919,2199.01178612505
920,3027.84919023726
921,2613.02742883449
922,2170.44874063465
923,3931.88138886447
924,4764.64704341432
925,16372.3681162825
926,2946.08151452811
927,5838.9380636101
928,11626.3200966477
929,2170.44874063465
930,2849.93660622758
931,6207.14933439684
932,10466.9111973825
933,8202.34553094004
934,2392.79053288428
935,2094.71946172724
936,2489.09962363222
937,8891.75597936956
938,8952.83360517913
939,4770.21624139558
940,2199.01178612505
941,3022.59123503384
942,8320.34998661319
943,9594.66012069485
944,5289.0492856755
945,1850.59398235012
946,5418.09003401562
947,2122.28591199846
948,2614.53165607297
949,3166.60080087676
950,5451.30703086248
951,3106.7786784869
952,5648.38523541105
953,5651.18645743138
954,2732.38429488954
955,4074.02860607831
956,6588.85650550155
957,10364.9333189558
958,2946.08151452811
959,9179.30164615708
960,24640.9397181824
961,2881.42511567776
962,4296.25084930386
963,6076.96581919232
964,4896.8885012264
965,2479.98605091862
966,24292.3838152265
967,2806.82676510072
968,8202.34553094004
969,16076.6783909918
970,2568.77689561689
971,5538.46227728623
972,5841.83378711292
973,2661.64452086858
974,2288.83818621446
975,5458.35428836566
976,2624.87022208854
977,6438.17280112225
978,2780.88911031134
979,9195.9111705659
980,21462.9795061757
981,2768.34239675624
982,8719.59644856872
983,2732.38429488954
984,2696.67168926262
985,5648.38523541105
986,2900.52819003497
987,2208.97817287589
988,5538.46227728623
989,9498.00078635057
990,2614.53165607297
991,4956.42263688131
992,2806.82676510072
993,4896.8885012264
994,5275.2028170504
995,5415.40435495942
996,4685.2871455923
997,2614.53165607297
998,17292.8248364461
999,8429.99935725844
1000,2094.71946172724
1001,5115.08010111472
1002,3788.19448637206
1003,4364.29911252583
1004,6710.89068028473
1005,3106.7786784869
1006,5747.89719220216
1007,2382.65797391969
1008,5841.83378711292
1009,21871.7168318745
1010,4361.78818572687
1011,8875.05599034175
1012,4485.42902450243
1013,6073.95354369977
1014,4051.62105615665
1015,5547.34690900489
1016,2849.93660622758
1017,2946.08151452811
1018,8202.34553094004
1019,8429.99935725844
1020,1926.18802714356
1021,5747.89719220216
1022,5538.46227728623
1023,4139.70926531344
1024,9433.22601720964
1025,15066.775765162
1026,21165.3042927884
1027,4690.35654502949
1028,5275.2028170504
1029,4933.23028058565
1030,7378.87365878054
1031,5111.57873185031
1032,3391.77115576486
1033,10303.7108506794
1034,2288.83818621446
1035,4198.0971578948
1036,2208.97817287589
1037,5415.40435495942
1038,7185.49399748869
1039,10303.7108506794
1040,5925.87833431968
1041,2637.04848323179
1042,2881.42511567776
1043,8202.34553094004
1044,6382.00922196094
1045,2806.82676510072
1046,2094.71946172724
1047,5530.80180212945
1048,9849.95015518552
1049,2900.52819003497
1050,5345.2194023625
1051,9873.17647807112
1052,2849.93660622758
1053,5651.18645743138
1054,2881.42511567776
